name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytreesjava,java,1,21,985,11.069,1422500,0,80% 96% 84% 75%,3.454
binarytreesjava,java,1,21,985,11.162,1522368,0,91% 79% 79% 83%,3.482
binarytreesjava,java,1,21,985,11.201,1426240,0,81% 84% 81% 90%,3.459
binarytreesjava,java,1,21,985,10.944,1258984,0,79% 91% 84% 81%,3.371
binarytreesjava,java,1,21,985,10.891,1380580,0,81% 80% 77% 93%,3.425
binarytreesktconv,kt,1,21,823,12.169,1483200,0,89% 91% 91% 87%,4.204
binarytreesktconv,kt,1,21,823,11.911,1301648,0,85% 80% 88% 94%,3.999
binarytreesktconv,kt,1,21,823,12.674,1462108,0,80% 93% 83% 82%,3.865
binarytreesktconv,kt,1,21,823,12.431,1124432,0,84% 96% 81% 80%,3.944
binarytreesktconv,kt,1,21,823,12.041,1141412,0,80% 83% 81% 89%,3.746
binarytreesktidiom,kt,1,21,786,13.079,1456080,0,81% 94% 95% 78%,4.756
binarytreesktidiom,kt,1,21,786,14.266,1352132,0,81% 92% 89% 87%,4.796
binarytreesktidiom,kt,1,21,786,12.249,1293596,0,79% 84% 90% 79%,3.810
binarytreesktidiom,kt,1,21,786,11.751,1152128,0,82% 82% 79% 91%,3.624
binarytreesktidiom,kt,1,21,786,11.405,1262076,0,81% 81% 89% 77%,3.667
fannkuchreduxjava,java,1,7,1393,0.235,0,0,40% 20% 7% 88%,0.158
fannkuchreduxjava,java,1,7,1393,0.224,0,0,21% 19% 83% 36%,0.162
fannkuchreduxjava,java,1,7,1393,0.257,0,0,39% 56% 18% 53%,0.173
fannkuchreduxjava,java,1,7,1393,0.239,0,0,27% 47% 33% 53%,0.154
fannkuchreduxjava,java,1,7,1393,0.258,0,0,12% 59% 13% 79%,0.172
fannkuchreduxktconv,kt,1,7,1379,0.159,0,0,54% 15% 10% 45%,0.121
fannkuchreduxktconv,kt,1,7,1379,0.162,0,0,70% 27% 27% 36%,0.113
fannkuchreduxktconv,kt,1,7,1379,0.167,0,0,9% 36% 15% 85%,0.127
fannkuchreduxktconv,kt,1,7,1379,0.178,0,0,38% 29% 57% 21%,0.138
fannkuchreduxktconv,kt,1,7,1379,0.168,0,0,17% 50% 25% 64%,0.118
fannkuchreduxktidiom,kt,1,7,1300,0.164,0,0,25% 18% 36% 73%,0.114
fannkuchreduxktidiom,kt,1,7,1300,0.181,0,0,69% 9% 38% 42%,0.124
fannkuchreduxktidiom,kt,1,7,1300,0.182,0,0,82% 31% 25% 15%,0.124
fannkuchreduxktidiom,kt,1,7,1300,0.182,0,0,36% 25% 58% 20%,0.127
fannkuchreduxktidiom,kt,1,7,1300,0.167,0,0,27% 62% 45% 17%,0.118
fastajava,java,1,25000000,2582,5.036,43064,0,100% 84% 85% 85%,2.134
fastajava,java,1,25000000,2582,5.150,43268,0,98% 87% 94% 86%,2.048
fastajava,java,1,25000000,2582,4.833,43160,0,96% 87% 83% 91%,1.698
fastajava,java,1,25000000,2582,4.638,43388,0,87% 83% 78% 84%,1.481
fastajava,java,1,25000000,2582,4.744,43260,0,85% 88% 91% 89%,1.381
fastaktconv,kt,1,25000000,2439,5.151,42156,0,81% 90% 85% 89%,1.540
fastaktconv,kt,1,25000000,2439,5.176,41892,0,87% 100% 88% 88%,2.020
fastaktconv,kt,1,25000000,2439,5.166,41904,0,87% 99% 88% 88%,2.039
fastaktconv,kt,1,25000000,2439,5.002,40808,0,95% 88% 94% 90%,1.904
fastaktconv,kt,1,25000000,2439,5.020,42320,0,89% 92% 93% 88%,1.421
fastaktidiom,kt,1,25000000,2435,4.916,44736,0,79% 90% 77% 85%,1.522
fastaktidiom,kt,1,25000000,2435,5.150,44724,0,84% 90% 84% 100%,2.044
fastaktidiom,kt,1,25000000,2435,5.336,44728,0,87% 90% 86% 100%,2.065
fastaktidiom,kt,1,25000000,2435,4.884,44564,0,86% 90% 87% 99%,1.800
fastaktidiom,kt,1,25000000,2435,4.827,44364,0,90% 84% 85% 88%,1.416
mandelbrotjava,java,1,16000,1029,25.100,67928,0,98% 98% 97% 98%,6.515
mandelbrotjava,java,1,16000,1029,25.343,67208,0,98% 98% 99% 98%,6.623
mandelbrotjava,java,1,16000,1029,23.846,67656,0,98% 99% 98% 98%,6.186
mandelbrotjava,java,1,16000,1029,23.828,67744,0,98% 98% 98% 98%,6.169
mandelbrotjava,java,1,16000,1029,23.910,67448,0,99% 98% 98% 98%,6.164
mandelbrotktconv,kt,1,16000,921,22.073,67668,0,98% 98% 99% 99%,6.759
mandelbrotktconv,kt,1,16000,921,23.729,68172,0,99% 98% 99% 98%,6.187
mandelbrotktconv,kt,1,16000,921,23.728,67620,0,99% 98% 98% 99%,6.124
mandelbrotktconv,kt,1,16000,921,23.667,67744,0,98% 98% 99% 98%,6.152
mandelbrotktconv,kt,1,16000,921,23.933,67644,0,98% 98% 98% 99%,6.192
mandelbrotktidiom,kt,1,16000,902,21.753,69732,0,98% 98% 98% 99%,6.721
mandelbrotktidiom,kt,1,16000,902,24.220,69228,0,97% 100% 98% 100%,6.326
mandelbrotktidiom,kt,1,16000,902,24.068,69516,0,99% 98% 98% 98%,6.189
mandelbrotktidiom,kt,1,16000,902,23.889,69876,0,98% 98% 99% 98%,6.203
mandelbrotktidiom,kt,1,16000,902,23.976,69820,0,98% 98% 99% 97%,6.182
nbodyjava,java,1,50000000,1644,6.720,33952,0,100% 20% 4% 10%,6.662
nbodyjava,java,1,50000000,1644,6.707,33676,0,27% 2% 4% 100%,6.653
nbodyjava,java,1,50000000,1644,6.655,33672,0,100% 13% 2% 6%,6.605
nbodyjava,java,1,50000000,1644,6.696,33392,0,25% 1% 8% 99%,6.640
nbodyjava,java,1,50000000,1644,6.697,33104,0,16% 99% 20% 2%,6.641
nbodyktconv,kt,1,50000000,1507,7.073,34208,0,22% 44% 83% 6%,7.008
nbodyktconv,kt,1,50000000,1507,7.016,34308,0,18% 100% 14% 3%,6.950
nbodyktconv,kt,1,50000000,1507,6.997,34536,0,19% 2% 5% 99%,6.932
nbodyktconv,kt,1,50000000,1507,7.035,34612,0,26% 41% 12% 63%,6.972
nbodyktconv,kt,1,50000000,1507,7.018,34632,0,50% 14% 53% 10%,6.951
nbodyktidiom,kt,1,50000000,1481,6.694,34384,0,2% 12% 100% 39%,6.637
nbodyktidiom,kt,1,50000000,1481,6.706,34584,0,3% 24% 100% 11%,6.647
nbodyktidiom,kt,1,50000000,1481,6.716,34604,0,23% 82% 7% 19%,6.648
nbodyktidiom,kt,1,50000000,1481,6.736,34476,0,25% 100% 14% 4%,6.679
nbodyktidiom,kt,1,50000000,1481,6.751,34496,0,21% 3% 4% 99%,6.686
spectralnormjava,java,1,5500,1230,11.120,34720,0,95% 96% 96% 98%,2.942
spectralnormjava,java,1,5500,1230,11.246,34352,0,95% 99% 95% 96%,2.963
spectralnormjava,java,1,5500,1230,11.157,34428,0,97% 95% 96% 96%,2.960
spectralnormjava,java,1,5500,1230,11.196,34444,0,95% 96% 96% 99%,2.945
spectralnormjava,java,1,5500,1230,11.201,34404,0,95% 96% 96% 98%,2.948
spectralnormktconv,kt,1,5500,1075,10.024,34904,0,93% 88% 94% 97%,3.127
spectralnormktconv,kt,1,5500,1075,10.162,34660,0,95% 92% 93% 98%,3.231
spectralnormktconv,kt,1,5500,1075,11.202,35332,0,95% 96% 97% 96%,2.948
spectralnormktconv,kt,1,5500,1075,11.210,35472,0,95% 96% 95% 97%,2.963
spectralnormktconv,kt,1,5500,1075,11.255,35000,0,95% 96% 97% 95%,2.963
spectralnormktidiom,kt,1,5500,1074,9.957,34724,0,93% 96% 95% 90%,3.109
spectralnormktidiom,kt,1,5500,1074,10.389,35264,0,92% 99% 93% 94%,3.181
spectralnormktidiom,kt,1,5500,1074,11.225,35000,0,95% 95% 96% 99%,2.951
spectralnormktidiom,kt,1,5500,1074,11.237,34908,0,95% 96% 94% 98%,2.965
spectralnormktidiom,kt,1,5500,1074,10.943,35412,0,96% 94% 95% 94%,2.998
