name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytreesjava,java,1,21,985,10.944,1522368,0,79% 91% 84% 81%,3.371
binarytreesktconv,kt,1,21,823,12.041,1483200,0,80% 83% 81% 89%,3.746
binarytreesktidiom,kt,1,21,786,11.751,1456080,0,82% 82% 79% 91%,3.624
fannkuchreduxjava,java,1,7,1393,0.239,0,0,27% 47% 33% 53%,0.154
fannkuchreduxktconv,kt,1,7,1379,0.162,0,0,70% 27% 27% 36%,0.113
fannkuchreduxktidiom,kt,1,7,1300,0.164,0,0,25% 18% 36% 73%,0.114
fastajava,java,1,25000000,2582,4.744,43388,0,85% 88% 91% 89%,1.381
fastaktconv,kt,1,25000000,2439,5.020,42320,0,89% 92% 93% 88%,1.421
fastaktidiom,kt,1,25000000,2435,4.827,44736,0,90% 84% 85% 88%,1.416
mandelbrotjava,java,1,16000,1029,23.910,67928,0,99% 98% 98% 98%,6.164
mandelbrotktconv,kt,1,16000,921,23.728,68172,0,99% 98% 98% 99%,6.124
mandelbrotktidiom,kt,1,16000,902,23.976,69876,0,98% 98% 99% 97%,6.182
nbodyjava,java,1,50000000,1644,6.655,33952,0,100% 13% 2% 6%,6.605
nbodyktconv,kt,1,50000000,1507,6.997,34632,0,19% 2% 5% 99%,6.932
nbodyktidiom,kt,1,50000000,1481,6.694,34604,0,2% 12% 100% 39%,6.637
spectralnormjava,java,1,5500,1230,11.120,34720,0,95% 96% 96% 98%,2.942
spectralnormktconv,kt,1,5500,1075,11.202,35472,0,95% 96% 97% 96%,2.948
spectralnormktidiom,kt,1,5500,1074,11.225,35412,0,95% 95% 96% 99%,2.951
