name,lang,id,n,size(B),cpu(s),mem(KB),status,load,elapsed(s)
binarytreesJava,java,1,0,985,0.338,964,0,57% 33% 90% 30%,0.208
binarytreesKtConv,kt,1,0,824,0.173,0,0,75% 69% 43% 77%,0.138
binarytreesKtIdiom,kt,1,0,787,0.182,0,0,77% 33% 62% 38%,0.136
fannkuchreduxJava,java,1,0,1394,0.280,520,0,65% 67% 86% 81%,0.210
fannkuchreduxKtConv,kt,1,0,1381,0.152,0,0,42% 55% 36% 82%,0.110
fannkuchreduxKtIdiom,kt,1,0,1301,0.134,0,0,13% 55% 70% 0%,0.095
fastaJava,java,1,0,2583,0.455,0,0,48% 50% 95% 42%,0.200
fastaKtConv,kt,1,0,2440,0.380,3156,0,80% 88% 76% 79%,0.241
fastaKtIdiom,kt,1,0,2437,0.372,988,0,55% 50% 48% 90%,0.209
mandelbrotJava,java,1,0,1030,0.241,0,0,56% 21% 56% 75%,0.163
mandelbrotKtConv,kt,1,0,923,0.161,0,0,38% 58% 33% 82%,0.119
mandelbrotKtIdiom,kt,1,0,901,0.313,5620,0,94% 94% 97% 94%,0.319
nbodyJava,java,1,0,1644,0.294,1104,0,92% 92% 74% 85%,0.261
nbodyKtConv,kt,1,0,1509,0.198,0,0,17% 93% 21% 47%,0.141
nbodyKtIdiom,kt,1,0,1482,0.200,0,0,64% 57% 47% 40%,0.144
spectralnormJava,java,1,0,1231,0.212,0,0,53% 44% 65% 69%,0.155
spectralnormKtConv,kt,1,0,1077,0.237,0,0,63% 63% 68% 84%,0.193
spectralnormKtIdiom,kt,1,0,1076,0.216,0,0,60% 75% 33% 31%,0.155
